100-00-5 -895.963722790
100-01-6 -491.839861274
100-02-7 -511.702010210
100-21-0 -609.096185663
100-37-8 -367.384546378
100-51-6 -346.553538137
100-54-9 -340.321993638
100-64-1 -364.968532889
100-97-0 -454.567745146
10016-20-3 0
10042-59-8 -469.214434816
1007-28-9 -928.950325105
1008-72-6 -968.464009605
10081-67-1 -1215.80703082
10094-34-5 -695.576668836
101-02-0 -1261.35546961
101-05-3 -1944.84358641
101-10-0 -1033.80146536
101-20-2 -2065.32438756
101-21-3 -1053.24162819
101-37-1 -855.696560953
101-42-8 -534.607231802
101-54-2 -573.635173688
101-55-3 -3107.99514655
101-61-1 -770.028789593
101-77-9 -612.925960386
101-80-4 -648.824864180
101-81-5 -502.267626554
101-83-7 -525.533406218
101-84-8 -538.170072827
101463-69-8 -2200.35990419
10161-33-8 -849.054625617
102-06-7 -667.044056511
102-27-2 -405.264680672
102-60-3 -962.554815367
102-71-6 -517.751729973
102-76-1 -802.368220650
102-82-9 -527.904317471
10222-01-2 -5440.91391595
1024-57-3 -3679.35416568
102409-92-7 -1501.89329510
10265-92-6 -1025.46197469
102676-31-3 -705.134920533
103-09-3 -543.242443535
103-11-7 -581.293697253
103-23-1 -1163.86146527
103-24-2 -1281.71427355
103-33-3 -572.390998693
103-34-4 -1370.17943513
103-65-1 -349.940128898
103-69-5 -365.976937725
103-76-4 -421.509546074
103-90-2 -515.194916564
103055-07-8 -2705.91943761
1031-07-8 -3805.43543524
103361-09-7 -1242.59466831
1034-01-1 -960.447480057
104-13-2 -444.553125896
104-40-5 -660.839090821
104-43-8 -778.691388563
104-45-0 -464.408913231
104-51-8 -389.224296209
104-61-0 -502.763606145
104-66-5 -691.922781823
104-67-6 -581.330658443
104-76-7 -390.646096106
104098-48-8 -933.178611798
104206-82-8 -1519.96264246
10453-86-8 -1078.96372960
104795-68-8 -1438.87170834
105-21-5 -424.195458802
105-37-3 -346.824254254
105-53-3 -574.597908333
105-54-4 -386.108077673
105-55-5 -705.132873355
105-60-2 -365.041566334
105-67-9 -385.853886013
105-87-3 -619.361614030
105-99-7 -849.578729737
10540-29-1 -1137.42142690
105512-06-9 -1570.49526115
105624-86-0 -1054.62254800
106-22-9 -467.990852026
106-23-0 -466.792591548
106-24-1 -466.764529626
106-25-2 -466.764248869
106-27-4 -503.960473853
106-30-9 -503.960373712
106-43-4 -730.833025396
106-44-5 -346.565949994
106-45-6 -669.430992554
106-46-7 -1151.00460962
106-47-8 -746.874617769
106-48-9 -766.739055914
106-49-0 -326.700441528
106-50-3 -342.739065012
106-65-0 -535.311811155
106-68-3 -389.460036549
106-87-6 -462.177665136
106-93-4 -5219.39326733
10605-21-7 -662.769935427
1061517-62-1 -1833.22096821
1062243-51-9 -1857.59408029
1067-25-0 -753.200223330
1067-53-4 -1173.92980287
1068967-96-3 -1219.89169466
107-07-3 -614.404016267
107-13-1 -170.722819167
107-18-6 -192.993253096
107-20-0 -613.200659550
107-21-1 -230.126163505
107-30-2 -614.391520080
107-41-5 -387.283906591
107-46-0 -893.469528030
107-51-7 -1337.96661531
107-54-0 -388.170124617
107-75-5 -543.210345920
107-87-9 -271.608860507
107-88-0 -308.701281448
107-92-6 -307.545259190
107-98-2 -308.697560898
107071-66-9 -1465.39530264
1072-15-7 -1053.03713012
107534-96-3 -1321.95009105
1076-97-7 -612.708789591
108-01-0 -288.815422673
108-11-2 -312.085626810
108-21-4 -346.815864868
108-32-7 -381.538599029
108-38-3 -310.659355596
108-39-4 -346.566923336
108-44-1 -326.701600328
108-45-2 -342.744101226
108-46-3 -382.474646413
108-59-8 -496.021311369
108-67-8 -349.947150611
108-68-9 -385.854943209
108-77-0 -1658.59020884
108-80-5 -505.860288490
108-83-8 -428.746404818
108-91-8 -291.024965697
108-93-0 -310.893342295
108-94-1 -309.700402114
108-95-2 -307.278890954
108-98-5 -630.142896832
108-99-6 -287.413742252
1085-12-7 -770.771149079
109-02-4 -326.908846587
109-43-3 -1006.71547824
109-46-6 -862.277309247
109-52-4 -346.829281576
109-55-7 -308.233348071
109-77-3 -224.851363792
109-86-4 -269.402709466
1095-90-5 -945.836140893
110-05-4 -465.768148538
110-12-3 -350.177830453
110-15-6 -456.758615681
110-16-7 -455.525776040
110-17-8 -455.519341593
110-25-8 -1103.47718406
110-26-9 -532.409509843
110-27-0 -818.237365501
110-33-8 -1006.71511300
110-42-9 -582.524014384
110-43-0 -350.177093011
110-44-1 -383.657866667
110-62-3 -271.597230833
110-63-4 -308.695456407
110-65-6 -306.210915949
110-69-0 -287.585437115
110-73-6 -288.823732440
110-80-5 -308.691807242
110-85-0 -267.759761704
110-87-2 -270.377774031
110-91-8 -287.627189030
110-97-4 -442.595529579
110235-47-7 -705.092160146
111-11-5 -503.955832495
111-14-8 -425.396360020
111-15-9 -461.275764383
111-20-6 -692.466575617
111-21-7 -842.812172937
111-27-3 -312.079228857
111-30-8 -345.580908558
111-40-0 -324.274315222
111-42-2 -364.006032434
111-44-4 -1152.42930074
111-46-6 -383.874095292
111-49-9 -291.005897994
111-55-7 -535.316339782
111-62-6 -934.856328820
111-69-3 -342.720178102
111-70-6 -351.363414195
111-71-7 -350.165283828
111-76-2 -387.259516946
111-77-3 -423.150701861
111-82-0 -661.092183711
111-84-2 -354.747553569
111-87-5 -390.647287605
111-90-0 -462.439791094
111-96-6 -462.427221784
1111-78-0 -244.476122873
1112-39-6 -599.415131638
1114-71-2 -921.438107156
1118-92-9 -523.363149438
1119-40-0 -574.594721395
111988-49-9 -1463.23595163
111991-09-4 -1759.62000162
112-00-5 -646.137473897
112-05-0 -503.965543826
112-07-2 -539.854739080
112-12-9 -507.313399109
112-14-1 -543.243653544
112-18-5 -606.473043651
112-25-4 -465.827674276
112-27-6 -537.622087894
112-30-1 -469.215449799
112-31-2 -468.017521086
112-34-5 -541.007489649
112-35-6 -576.898661398
112-38-9 -581.302604228
112-42-5 -508.499692694
